"","Taxo.Unit","Int_LMA.LL","Slope_LMA.LL","Slope.lci_LMA.LL","Slope.uci_LMA.LL","Rho_LMA.LL","r.sq_LMA.LL","n_LMA.LL","varLMA","varLL","lci_2.5_LMA.LL","lci_5_LMA.LL","lci_10_LMA.LL","uci_10_LMA.LL","uci_5_LMA.LL","uci_2.5_LMA.LL","sig_LMA.LL","Type","Int_LMA.N","Slope_LMA.N","Slope.lci_LMA.N","Slope.uci_LMA.N","Rho_LMA.N","r.sq_LMA.N","n_LMA.N","varNmass","lci_2.5_LMA.N","lci_5_LMA.N","lci_10_LMA.N","uci_10_LMA.N","uci_5_LMA.N","uci_2.5_LMA.N","sig_LMA.N","Int_LL.N","Slope_LL.N","Slope.lci_LL.N","Slope.uci_LL.N","Rho_LL.N","r.sq_LL.N","n_LL.N","lci_2.5_LL.N","lci_5_LL.N","lci_10_LL.N","uci_10_LL.N","uci_5_LL.N","uci_2.5_LL.N","sig_LL.N","Int_LMA.Narea","Slope_LMA.Narea","Slope.lci_LMA.Narea","Slope.uci_LMA.Narea","Rho_LMA.Narea","r.sq_LMA.Narea","n_LMA.Narea","varNarea","lci_2.5_LMA.Narea","lci_5_LMA.Narea","lci_10_LMA.Narea","uci_10_LMA.Narea","uci_5_LMA.Narea","uci_2.5_LMA.Narea","sig_LMA.Narea","Int_LL.Narea","Slope_LL.Narea","Slope.lci_LL.Narea","Slope.uci_LL.Narea","Rho_LL.Narea","r.sq_LL.Narea","n_LL.Narea","lci_2.5_LL.Narea","lci_5_LL.Narea","lci_10_LL.Narea","uci_10_LL.Narea","uci_5_LL.Narea","uci_2.5_LL.Narea","sig_LL.Narea","rho.sig_LMA.N","rho.sig_LMA.Narea","rho.sig_LMA.LL","rho.sig_LL.N","rho.sig_LL.Narea"
"11","Aster alpigenus",3.48259618821709,-1.9450390412385,-3.52687698191601,-1.07267049328347,-0.775332376768358,0.601140294465272,8,0.00174557024570174,0.00660380098188897,-0.856626609446696,-0.754522886984643,-0.610467714487492,0.663514801231801,0.787435890580464,0.87208923711632,0.05,"w.inSpp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0237881129927857,NA,NA
"12","Calocedrus decurrens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",2.35356421064882,-1.00837261454306,-1.59902955271832,-0.635895270373108,-0.433583977183092,0.187995065269908,18,0.0132791706348256,-0.699410525324412,-0.647514739551158,-0.583473247044742,0.0436647091392696,0.157696277653334,0.262405305617635,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25432510820144,1.06882501484959,0.690735645578912,1.65386992792413,0.526546238612412,0.27725094139688,18,0.01491908146576,-0.322559006319077,-0.236416923493257,-0.13359460484018,0.536772641855186,0.607156852321646,0.666498163349196,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0722417944576311,0.0247723116753969,NA,NA,NA
"13","Cassiope tetragona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",1.12769361258595,-0.445522197527833,-5.15484694207917,-0.0385055134944453,-0.892067554975349,0.795784522639697,3,0.0128897,NA,NA,NA,NA,NA,NA,NA,-1.16790646734523,0.739731598998628,0.13733613825504,3.98440531028245,0.519151969469707,0.269518767404275,4,NA,NA,NA,NA,NA,NA,NA,-1.04545805876628,0.633085871582774,0.0696997866842646,5.75034357871582,0.93558823359439,0.875325342840271,3,0.014068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298508713075562,0.229740145741404,NA,0.480848030530293,NA
"14","Castilleja parviflora",-2.56378681841107,1.81296335037225,1.04984329361616,3.13078735634108,0.648638373855452,0.420731740037845,11,0.00368239573969421,0.0121034312877746,-0.662577121684262,-0.564873222228364,-0.433570372820269,0.563392102273273,0.670801497077074,0.753443413050404,0.1,"w.inSpp",-11.1145371445998,7.7060018043837,0.429069502001957,138.398239753926,0.709661949013162,0.503620081877159,3,0.180965137474937,NA,NA,NA,NA,NA,NA,NA,0.00702579883984639,2.818733279162,0.115335208224873,68.8883942842857,0.279641391185792,0.0781993076643252,3,NA,NA,NA,NA,NA,NA,NA,-12.724433296267,8.44510368567499,0.515003083731022,138.484173230794,0.765965285765393,0.58670281899766,3,0.217343509985969,NA,NA,NA,NA,NA,NA,NA,-0.536173471220154,3.08908502866482,0.129996997453422,73.4051285895291,0.358764359282539,0.128711865491411,3,NA,NA,NA,NA,NA,NA,NA,0.497695364164287,0.444522836495662,0.030852450805997,0.819568855704412,0.766396328035786
"15","Celtis africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",1.76393443771946,-0.644351089944232,-3.0675502460814,-0.135348500857548,-0.663857092405518,0.440706239137109,4,0.0119397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.945353834489379,0.730570057854362,0.173869378023877,3.06973324169842,0.758712316346833,0.575644378976376,4,0.0131075833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.336142907594482,0.241287683653167,NA,NA,NA
"16","Coffea arabica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",1.829603537903,-0.655656027365699,-0.825612147420177,-0.520686169122205,-0.401264275209947,0.161013018559764,64,0.00131352834601338,-0.436500690133971,-0.381644022489312,-0.311999738119775,0.14275468075549,0.221705555045369,0.281062156894774,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36891560135546,0.945013539694349,0.805834183441623,1.10823120755629,0.776408901540648,0.602810782391556,64,0.0027287477787274,-0.321231204049438,-0.246058361389494,-0.167607879488338,0.303791100190859,0.366997094320058,0.421268131115126,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00101577663133129,4.76934068701816e-14,NA,NA,NA
"17","Crataegus monogyna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",-1.64845823001982,0.953593803472416,0.242690083710575,3.74692335227607,0.00199599398549941,3.98399199014982e-06,5,0.0062108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6857475224256,1.46555372832261,0.516374274455981,4.15947857368211,0.736483257112862,0.54240758800757,5,0.0146698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997458623214082,0.155807096954255,NA,NA,NA
"18","Dryas octopetala",8.90578464002326,-4.19277185085928,-48.4389797456798,-0.362917135861554,-0.89241617480506,0.796406629053696,3,0.01318,0.1588,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",1.46126578748028,-0.571403776830409,-2.24376871039764,-0.145515121350539,-0.0381086338276018,0.00145226797220624,5,0.0043033,NA,NA,NA,NA,NA,NA,NA,0.222,0.2,0.109683508740139,0.364685634690695,0.998740554156171,0.997482694516176,3,NA,NA,NA,NA,NA,NA,NA,-1.91272190516149,1.13114616828297,0.494554839504156,2.58715829230197,0.864036917564774,0.746559794914836,5,0.0168637,NA,NA,NA,NA,NA,NA,NA,0.391960569474196,-0.108526115364944,-2.73818285074847,-0.0043013627497468,-0.131716778762299,0.0173493098075165,3,NA,NA,NA,NA,NA,NA,NA,0.95149032732519,0.0589391419817014,0.298017218205001,0.0319543848181472,0.915902114779476
"19","Erythronium montanum",0.713914144551724,-0.339834597112395,-0.576459956735443,-0.200339246542922,-0.734362581502947,0.539288401111672,10,0.0061450897910284,0.00070968138535566,-0.870931217975284,-0.760906935763039,-0.587946000808411,0.587075982215392,0.731115495492624,0.836951511633358,0.1,"w.inSpp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0155793420507001,NA,NA
"20","Eucalyptus obliqua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"w.inSpp",1.48995646483882,-0.628432681843785,-0.810270808798118,-0.487402028212237,-0.211646049732584,0.0447940503674075,60,0.00216750537295581,-0.427659638214733,-0.391158858693844,-0.339251714013626,0.0716737309048422,0.140891458035305,0.201837092997871,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.07052865227503,1.0624842910789,0.912956196218152,1.23650277358947,0.815122015743138,0.664423900549156,60,0.00619566165510223,-0.209070703367171,-0.15099222917752,-0.08542366197022,0.354768265861026,0.407035907360389,0.449282123860726,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104511344702266,2.24639786387686e-15,NA,NA,NA
